ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
CoDockPP,,https://doi.org/10.1021/acs.jcim.9b00445,http://codockpp.schanglab.org.cn/,,Protein Structure,Protein-Protein Docking,,,A Multistage Approach for Global and Site-Specific Protein-Protein Docking (online),,,,,31.0,material/set-all
DeepComplex,,https://doi.org/10.3389/fmolb.2021.716973,http://tulip.rnet.missouri.edu/deepcomplex/web_index.html,,Protein Structure,Protein-Protein Docking,,,A Web Server of Predicting Protein Complex Structures by Deep Learning Inter-chain Contact Prediction and Distance-Based Modelling (online),,,,,15.0,material/set-all
DisVis,,https://doi.org/10.1093/bioinformatics/btv333,http://milou.science.uu.nl/cgi/services/DISVIS/disvis/,,Protein Structure,Protein-Protein Docking,,,visualizes the accessible interaction space (online),,,,,64.0,material/set-all
DOCK/PIERR,,https://doi.org/10.1007/978-1-4939-0366-5_14,http://clsb.ices.utexas.edu/web/dock.html,,Protein Structure,Protein-Protein Docking,,,Protein Docking Server (online),,,,,26.0,material/set-all
Dockground,,https://doi.org/10.1002/pro.4481,,http://dockground.compbio.ku.edu/,Protein Structure,Protein-Protein Docking,,,"A comprehensive data resource for modeling of protein complexes, datasets, decoys... (online)",,,,,9.0,material/set-all
DOCKSCORE,,http://www.biomedcentral.com/1471-2105/16/127,http://caps.ncbs.res.in/dockscore/,,Protein Structure,Protein-Protein Docking,,,rank docked poses (online),,,,,,material/set-all
DockStar,,,http://bioinfo3d.cs.tau.ac.il/DockStar/,,Protein Structure,Protein-Protein Docking,,,Modelling of multimolecular protein complexes (online),,,,,,material/set-all
DockSurf,,https://doi.org/10.1021/acs.jcim.3c00569,,https://bioserv.rpbs.univ-paris-diderot.fr/services/DockSurf/,Protein Structure,Protein-Protein Docking,,,A molecular modeling software for the prediction of protein/surface adhesion (eg. gold surfaces) (online),,,,,0.0,material/set-all
DOVE,,https://doi.org/10.1093/bioinformatics/btz870,,http://kiharalab.org/dove/,Protein Structure,Protein-Protein Docking,,,convolutional deep neural network-based approach named DOcking decoy selection with Voxel-based deep neural nEtwork (DOVE) for evaluating protein docking models (online),,,,,86.0,material/set-all
EROS-DOCK,,doi:10.1093/bioinformatics/btz434,,http://erosdock.loria.fr/,Protein Structure,Protein-Protein Docking,,,protein–protein docking using exhaustive branch-and-bound rotational search (standalone),,,,,9.0,material/set-all
ezCADD,,https://doi.org/10.1021/acs.jcim.8b00633,,http://www.dxulab.org/software,Protein Structure,Protein-Protein Docking,,,"a Rapid 2D/3D Visualization Enabled Web Modeling Environment for Democratizing Computer-Aided Drug Design (small molecule docking, protein docking, 2D/3D interaction viz, de novo lead optimization, pocket search and polypharmacology) online",,,,,49.0,material/set-all
"FiberDock, FireDock, FlexDock, PatchDock",,https://doi.org/10.1093/nar/gkq373,http://bioinfo3d.cs.tau.ac.il/wk/index.php/Servers_%26_Software,,Protein Structure,Protein-Protein Docking,,,,,,,,86.0,material/set-all
FiltRest3D,,doi:10.1371/journal.pcbi.1008309,http://filtrest3d.genesilico.pl/filtrest3d/help.html,,Protein Structure,Protein-Protein Docking,,,filter predicted models (online),,,,,43.0,material/set-all
FoldDock,https://gitlab.com/ElofssonLab/FoldDock/,http://dx.doi.org/10.1038/s41467-022-28865-w,,,Protein Structure,Protein-Protein Docking,,,simultaneous folding and docking protocol FoldDock and AlphaFold (standalone),,,,,453.0,material/set-all
FRODOCK,,https://doi.org/10.1093/bioinformatics/btw141,http://frodock.chaconlab.org/,,Protein Structure,Protein-Protein Docking,,,Fast Rotational DOCKing (online),,,,,124.0,material/set-all
GalaxyDomDock,,https://doi.org/10.1016/j.jmb.2022.167508,http://galaxy.seoklab.org/domdock,,Protein Structure,Protein-Protein Docking,,,An Ab Initio Domain-domain Docking Web Server for Multi-domain Protein Structure Prediction (online),,,,,6.0,material/set-all
GalaxyHomomer,,https://doi.org/10.1093/nar/gkx246,,http://galaxy.seoklab.org/cgi-bin/submit.cgi?type=HOMOMER,Protein Structure,Protein-Protein Docking,,,protein homo-oligomer structure prediction from a monomer sequence or structure (online),,,,,107.0,material/set-all
GalaxyRefineComplex,,https://doi.org/10.1038%2Fsrep32153,http://galaxy.seoklab.org/cgi-bin/submit.cgi?type=COMPLEX,,Protein Structure,Protein-Protein Docking,,,Protein-protein complex structures generated by protein-protein docking methods can be refined (online),,,,,100.0,material/set-all
GalaxyTongDock,,https://doi.org/10.1093/nar/gks493,,http://galaxy.seoklab.org/tongdock,Protein Structure,Protein-Protein Docking,,,Symmetric and asymmetric ab initio protein-protein docking web server with improved energy parameters (online),,,,,634.0,material/set-all
GRAMM,,https://doi.org/10.1007/978-1-0716-3441-7_5,http://gramm.compbio.ku.edu/,,Protein Structure,Protein-Protein Docking,,,Protein-Protein Docking Web Server (online),,,,,10.0,material/set-all
GraphPPIS,,https://doi.org/10.1093/bioinformatics/btab643,https://biomed.nscc-gz.cn/apps/GraphPPIS,,Protein Structure,Protein-Protein Docking,,,"Structure-aware protein-protein interaction site prediction using deep graph convolutional network (online), standalone on github",,,,,82.0,material/set-all
GWIDD,,https://doi.org/10.1186/1479-7364-6-7,http://gwidd.compbio.ku.edu/,,Protein Structure,Protein-Protein Docking,,,genome wide docking database (online),,,,,14.0,material/set-all
Haddock,,https://doi.org/10.21769%2FBioProtoc.3793,http://haddock.chem.uu.nl/,,Protein Structure,Protein-Protein Docking,,,High Ambiguity Driven protein-protein DOCKing (online requires login),,,,,12.0,material/set-all
HawkDock,,https://doi.org/10.1093/nar/gkz397,,http://cadd.zju.edu.cn/hawkdock/,Protein Structure,Protein-Protein Docking,,,to predict and analyze the protein-protein complex based on computational docking and MM/GBSA (online),,,,,368.0,material/set-all
HDOCK,,https://doi.org/10.1093%2Fnar%2Fgkx407,,http://hdock.phys.hust.edu.cn/,Protein Structure,Protein-Protein Docking,,,"hybrid protein–protein and protein–DNA/RNA docking, Pushing the accuracy limit of shape complementarity for protein-protein docking (online)",,,,,752.0,material/set-all
HMI-PRED,,https://doi.org/10.1093/bioinformatics/btac633,https://interactome.ku.edu.tr/hmi/,,Protein Structure,Protein-Protein Docking,,,A Web Server for Structural Prediction of Host-Microbe Interactions Based on Interface Mimicry (online),,,,,1.0,material/set-all
InterEvDock2,,https://doi.org/10.1093%2Fnar%2Fgky377,http://bioserv.rpbs.univ-paris-diderot.fr/services/InterEvDock2/,,Protein Structure,Protein-Protein Docking,,,protein docking using evolutionary and biological information from homology models and multimeric inputs (online),,,,,47.0,material/set-all
InterEvDock3,,https://doi.org/10.1093%2Fnar%2Fgkab358,http://bioserv.rpbs.univ-paris-diderot.fr/services/InterEvDock3/,,Protein Structure,Protein-Protein Docking,,,a combined template-based and free docking server with increased performance through explicit modeling of complex homologs and integration of covariation-based contact maps (online),,,,,20.0,material/set-all
InterPred,,https://doi.org/10.1002/prot.25280,,http://wallnerlab.org/InterPred,Protein Structure,Protein-Protein Docking,,,A pipeline to identify and model protein-protein interactions (online),,,,,33.0,material/set-all
INTERSPIA,,https://doi.org/10.1093/nar/gky378,,http://bioinfo.konkuk.ac.kr/INTERSPIA/,Protein Structure,Protein-Protein Docking,,,Explore the Dynamics of Protein-Protein Interactions Among Multiple Species (online),,,,,9.0,material/set-all
IRaPPA,,https://doi.org/10.1093/bioinformatics/btx068,,https://life.bsc.es/pid/pydockrescoring/,Protein Structure,Protein-Protein Docking,,,pyDockRescoring Server (online),,,,,37.0,material/set-all
LightDock,,https://doi.org/10.1093/bioinformatics/btx555,,https://server.lightdock.org/,Protein Structure,Protein-Protein Docking,,,"Artificial Intelligence-powered modeling of macromolecular interactions (macromolecular docking framework, online)",,,,,82.0,material/set-all
P3DOCK,,https://doi.org/10.1093/bioinformatics/btz478,,http://www.rnabinding.com/P3DOCK/P3DOCK.html,Protein Structure,Protein-Protein Docking,,,a protein-RNA docking webserver based on template-based and template-free docking (online),,,,,18.0,material/set-all
PIIMS,,,,http://chemyang.ccnu.edu.cn/ccb/server/PIIMS/index.php,Protein Structure,Protein-Protein Docking,,,Mutation Hotspot Scanning at the Protein-Protein Interface (online),,,,,,material/set-all
PPI-Affinity,,https://doi.org/10.1021/acs.jproteome.2c00020,https://protdcal.zmb.uni-due.de/PPIAffinity,,Protein Structure,Protein-Protein Docking,,,Prediction and Optimization of Protein-Peptide and Protein-Protein Binding Affinity (online),,,,,37.0,material/set-all
PRODIGY,,https://doi.org/10.1093/bioinformatics/btw514,https://wenmr.science.uu.nl/prodigy/,,Protein Structure,Protein-Protein Docking,,,PROtein binDIng enerGY prediction (online),,,,,800.0,material/set-all
PRODIGY-crystal,,https://doi.org/10.1093/bioinformatics/btz437,,https://wenmr.science.uu.nl/prodigy/,Protein Structure,Protein-Protein Docking,,,classification of biological interfaces in protein complexes (online),,,,,28.0,material/set-all
pyDock,,https://doi.org/10.1093/bioinformatics/btt262,https://life.bsc.es/pid/pydock/,,Protein Structure,Protein-Protein Docking,,,,,,,,220.0,material/set-all
pyDockDNA,,https://doi.org/10.3389/fmolb.2022.988996,https://model3dbio.csic.es/pydockdna,,Protein Structure,Protein-Protein Docking,,,A new web server for energy-based protein-DNA docking and scoring (online),,,,,8.0,material/set-all
pyDockEneRes,,https://doi.org/10.1093/bioinformatics/btz884,,https://life.bsc.es/pid/pydockeneres,Protein Structure,Protein-Protein Docking,,,per-residue decomposition of protein-protein docking energy (online),,,,,18.0,material/set-all
QASDOM,,https://doi.org/10.1093/bioinformatics/btx591,,http://qasdom.eimb.ru/qasdom.html,Protein Structure,Protein-Protein Docking,,,"Quality ASsessment of DOcking Models, protein-protein (online)",,,,,10.0,material/set-all
RosettaDock,,https://doi.org/10.1093%2Fnar%2Fgkn216,,https://www.rosettacommons.org/,Protein Structure,Protein-Protein Docking,,,Efficient Flexible Backbone Protein-Protein Docking for Challenging Targets (standalone and online),,,,,477.0,material/set-all
SPServer,,https://doi.org/10.1186/s12859-020-03770-5,,https://sbi.upf.edu/spserver/,Protein Structure,Protein-Protein Docking,,,split-statistical potentials for the analysis of protein structures and protein-protein interactions (PPI) (online) (or http://sbi.upf.edu/spserver/),,,,,8.0,material/set-all
SwarmDock,,https://doi.org/10.1007/978-1-0716-0708-4_11,http://bmm.crick.ac.uk/~SwarmDock/,,Protein Structure,Protein-Protein Docking,,,webservice for generating 3D structures of protein-protein complexes (online),,,,,1.0,material/set-all
webSDA,,https://doi.org/10.1093/nar/gkv335,https://websda.h-its.org/webSDA,,Protein Structure,Protein-Protein Docking,,,Simulation of Diffusional Assosiation (SDA) (online),,,,,12.0,material/set-all
ZDOCK,,https://doi.org/10.1371/journal.pone.0024657,http://zdock.umassmed.edu/,,Protein Structure,Protein-Protein Docking,,,docking (online),,,,,499.0,material/set-all
DockQ,https://github.com/bjornwallner/DockQ/,https://doi.org/10.1371/journal.pone.0161879,,,Protein Structure,Protein-Protein Docking,Quality Assessment,,A Quality Measure for Protein-Protein Docking Models (standalone),201.0,08/2024,0 months ago,,244.0,material/set-all
Protein Interaction Explorer,,https://doi.org/10.1093/bioinformatics/btae414,https://ippidb.pasteur.fr/targetcentric/,,Protein Structure,Protein-Protein Interactions,,,platform for navigating protein–protein interactions and ligand binding pockets,,,,,0.0,material/tray-full
DeepKa,,https://doi.org/10.1021/acs.jcim.3c02013,http://www.computbiophys.com/DeepKa/main,,Protein Structure,Protonation,,,deep-learning-based protein pKa predictor (online),,,,,0.0,material/alpha-h-box
H++,,https://doi.org/10.1093%2Fnar%2Fgki464,http://biophysics.cs.vt.edu/,,Protein Structure,Protonation,,,automated system that computes pK values of ionizable groups in macromolecules and adds missing hydrogen atoms according to the specified pH of the environment (online),,,,,1292.0,material/alpha-h-box
propka,https://github.com/jensengroup/propka,https://doi.org/10.1021/ct200133y,,,Protein Structure,Protonation,,,,256.0,02/2024,6 months ago,,1457.0,material/alpha-h-box
ProteinPrepare,,,http://www.playmolecule.org/,,Protein Structure,Protonation,,,,,,,,,material/alpha-h-box
PypKa,https://github.com/mms-fcul/PypKa,https://doi.org/10.1021/acs.jcim.0c00718,,,Protein Structure,Protonation,,,a flexible Python module for Poisson-Boltzmann based pKa calculations (for proteins) (standalone),51.0,02/2024,7 months ago,,41.0,material/alpha-h-box
pypka,https://github.com/mms-fcul/PypKa,https://doi.org/10.1021/acs.jcim.0c00718,https://pypka.org/,,Protein Structure,Protonation,,,"allows users to run physics-based, as well as ML-accelerated methods suitable for larger systems, to obtain pKa values, isoelectric points, titration curves, and structures with representative pH-dependent protonation states compatible with commonly used force fields",51.0,02/2024,7 months ago,,41.0,material/alpha-h-box
Reduce,https://github.com/rlabduke/reduce/tree/master,,,,Protein Structure,Protonation,,,tool for adding and correcting hydrogens in PDB files,113.0,08/2024,1 months ago,,,material/alpha-h-box
